city_id,run_date,n_panos,n_quality,q_p10,q_p25,q_p50,q_p75,q_p90,pct_ge_good,pct_lt_poor,n_sequences,n_seq_mixed_foot,n_seq_mixed_org,seq_q_p25,seq_q_p50,seq_q_p75,n_foot_known,n_panos_on_foot,pct_on_foot,q_p50_on_foot,q_p50_vehicle,n_seq_on_foot,n_seq_vehicle,seq_q_p50_on_foot,seq_q_p50_vehicle,n_with_org,n_distinct_orgs,q_p50_org,q_p50_no_org,n_seq_org,n_seq_no_org,seq_q_p50_org,seq_q_p50_no_org,pct_with_org
charleston--south-carolina--united-states,2026-07-25,8768,8768,0.825,0.85,0.886,0.902,0.913,29.0944,0.0,115,0,0,0.8595,0.885,0.896,8768,0,0.0,,0.886,0,115,,0.885,8768,1,0.886,,115,0,0.885,,100.0
charlestown--maryland--united-states,2026-07-26,61,61,0.808,0.812,0.818,0.832,0.843,0.0,0.0,3,0,0,0.8167,0.8185,0.8345,61,0,0.0,,0.818,0,3,,0.8185,0,0,,0.818,0,3,,0.8185,0.0
charlotte--north-carolina--united-states,2026-07-31,24618,24618,0.765,0.801,0.846,0.875,0.894,6.6699,0.0,94,0,0,0.7933,0.8362,0.8708,24618,312,1.2674,0.747,0.847,10,84,0.741,0.842,0,0,,0.846,0,94,,0.8362,0.0
chehalis--washington--united-states,2026-07-26,155,155,0.7522,0.807,0.828,0.84,0.85,0.0,0.6452,2,0,0,0.8269,0.8277,0.8286,155,0,0.0,,0.828,0,2,,0.8277,0,0,,0.828,0,2,,0.8277,0.0
chelsea--alabama--united-states,2026-07-26,3944,3944,0.759,0.778,0.802,0.832,0.858,0.2282,0.0,34,0,0,0.7792,0.7885,0.8211,3944,0,0.0,,0.802,0,34,,0.7885,0,0,,0.802,0,34,,0.7885,0.0
cheney--washington--united-states,2026-07-26,798,798,0.858,0.874,0.889,0.899,0.91,24.9373,0.0,5,0,0,0.878,0.879,0.891,798,0,0.0,,0.889,0,5,,0.879,0,0,,0.889,0,5,,0.879,0.0
chewelah--washington--united-states,2026-07-27,750,750,0.844,0.859,0.874,0.888,0.906,15.4667,0.0,4,0,0,0.8681,0.8722,0.8751,750,0,0.0,,0.874,0,4,,0.8722,0,0,,0.874,0,4,,0.8722,0.0
chicago--illinois--united-states,2026-07-30,170614,170614,0.771,0.813,0.851,0.879,0.901,10.7019,2.0772,5066,0,0,0.826,0.854,0.875,170614,10157,5.9532,0.859,0.85,1250,3816,0.856,0.8535,48066,4,0.845,0.853,4782,284,0.854,0.8528,28.1724
church-creek--maryland--united-states,2026-08-17,29,29,0.8388,0.85,0.861,0.868,0.8746,0.0,0.0,1,0,0,0.861,0.861,0.861,29,0,0.0,,0.861,0,1,,0.861,29,1,0.861,,1,0,0.861,,100.0
cimarron--new-mexico--united-states,2026-08-17,713,713,0.853,0.859,0.868,0.876,0.8838,3.2258,0.0,1,0,0,0.868,0.868,0.868,713,0,0.0,,0.868,0,1,,0.868,713,1,0.868,,1,0,0.868,,100.0
